id,claim,value,source_authority,source_document,source_section,source_url,jurisdiction,zone_or_scope,verified_date,status,notes
REF-001,"Maximum site cover for dwelling houses in Low Density Residential zone",50%,"City of Gold Coast","Gold Coast City Plan (Version 13)","Section 6.2.1 — Low Density Residential Zone Code, Table 6.2.1.3.1","https://www.goldcoast.qld.gov.au/files/sharedassets/public/v/1/pdfs/city-plan/our-city-our-plan-amendments/part-6/round-1/ocop-amendments-part-6.2.1_low_density_residential_zone_code.pdf","QLD — Gold Coast","Low density residential",2026-03-19,verified,"Acceptable outcome: site cover does not exceed 50%. Used in zone-rules.ts maxSiteCover and displayed as 'Site Cover Remaining' in analysis sidebar."
REF-002,"Maximum site cover for dwelling houses in Medium Density Residential zone",50%,"City of Gold Coast","Gold Coast City Plan (Version 13)","Section 6.2.3 — Medium Density Residential Zone Code","https://www.goldcoast.qld.gov.au/files/sharedassets/public/v/1/pdfs/city-plan/our-city-our-plan-amendments/part-6/round-1/ocop-amendments-part-6.2.3-low-medium-density-residential-zone-code.pdf","QLD — Gold Coast","Medium density residential",2026-03-19,verified,"50% for standard lots. 60% for lots < 400m². zone-rules.ts uses 50% — may understate for small lots."
REF-003,"Maximum site cover for dwelling houses in Rural Residential zone",25%,"City of Gold Coast","Gold Coast City Plan (Version 13)","Section 6.2.22 — Rural Residential Zone Code","https://www.goldcoast.qld.gov.au/files/sharedassets/public/v/1/pdfs/city-plan/our-city-our-plan-amendments/part-6/round-1/ocop-amendments-part-6.2.22-rural-residential-zone-code.pdf","QLD — Gold Coast","Rural residential",2026-03-19,verified,"Used in zone-rules.ts maxSiteCover."
REF-004,"Maximum site cover for High Density Residential zone","Varies (e.g. 30% for buildings >55m)","City of Gold Coast","Gold Coast City Plan (Version 13)","Section 6.2.4 — High Density Residential Zone Code","https://www.goldcoast.qld.gov.au/files/sharedassets/public/v/1/pdfs/city-plan/our-city-our-plan-amendments/part-6/round-1/ocop-amendments-part-6.2.4-high-density-residential-zone-code.pdf","QLD — Gold Coast","High density residential",2026-03-19,verified,"Site cover is height-dependent — not a single flat percentage. zone-rules.ts uses 50% which is inaccurate for this zone."
REF-005,"Character Residential zone — site cover",50%,"Static assumption (zone-rules.ts)","N/A — no Gold Coast equivalent","N/A","","QLD — Generic","Character residential",2026-03-19,unverified,"Gold Coast does not have a 'Character Residential' zone. This is a Brisbane/other-council concept. Value is assumed 50% with no authoritative source. Needs council-specific verification if used outside Gold Coast."
REF-006,"Maximum site cover for Low-Medium Density Residential zone",50%,"City of Gold Coast","Gold Coast City Plan (Version 13)","Section 6.2.2 — Low-Medium Density Residential Zone Code","https://www.goldcoast.qld.gov.au/files/sharedassets/public/v/1/pdfs/city-plan/our-city-our-plan-amendments/part-6/round-1/ocop-amendments-part-6.2.2-low-medium-density-residential-zone-code.pdf","QLD — Gold Coast","Low-medium density residential",2026-03-19,verified,"zone-rules.ts does not currently have a pattern for 'low-medium density' — falls through to 'medium density' match."
REF-007,"QLD cadastre geocode_type field value PC","POINT OF CENTRE OF PARCELS MAKING UP A PROPERTY AND LYING WITHIN ITS BOUNDARIES (E.G. FOR L-SHAPED PROPERTY)","Geoscape Australia","G-NAF Data Product Description","Appendix C — Data Dictionary (GEOCODE_TYPE_AUT table)","https://docs.geoscape.com.au/projects/gnaf_desc/en/stable/appendix_c.html","QLD (national standard)","qld_cadastre_address.geocode_type",2026-03-20,verified,"geocode_type='PC' is the most common geocode type in QLD (2.8M of 2.8M address records). Also defined identically in the QLD Address Model at spatial-information-qld.github.io/address-model/model.html. Suggested tooltip: 'Geocode: Property Centroid — coordinate placed at the centre of the parcel boundary.'"
REF-008,"QLD cadastre tenure field value Freehold","Land held in Fee Simple (freehold title) which includes titles surrendered to the State of Queensland (or Crown) in terms of Section 358 of the Land Act 1994","Queensland Department of Resources","Queensland Digital Cadastral Database (DCDB) QIF Specification","Section 7.4 — DCDB Tenure Codes (code FH)","https://www.publications.qld.gov.au/ckan-publications-attachments-prod/resources/b59bb1a1-3818-4754-8dc4-3669f0ec3f8b/queensland-digital-cadastral-database-data-dictionary-qif.pdf","QLD","qld_cadastre_parcels.tenure",2026-03-20,verified,"The DCDB distributes tenure as a full string ('Freehold') not the two-letter code ('FH'). QIF Sec 7.4 lists FH = FREEHOLD with this definition. Freehold is the most common tenure (2.4M of ~3.5M parcels). Suggested tooltip: 'Tenure: Freehold — land held in fee simple (freehold title).'"
REF-009,"QLD cadastre lotplan_status field value C","Current — the lot/plan record is the active/current cadastral record","Queensland Department of Resources / QLD Spatial","Queensland Land Parcel Property Framework (ArcGIS REST service, Addresses layer ID 0)","Field alias 'Lot/plan status' (length 1 single-character code); sole observed value in dataset","https://spatial-gis.information.qld.gov.au/arcgis/rest/services/PlanningCadastre/LandParcelPropertyFramework/MapServer/0","QLD","qld_cadastre_address.lotplan_status",2026-03-20,inferred,"No explicit coded domain is published in the ArcGIS service or QIF spec for this field. 'C' = Current is inferred from: (1) the field alias 'Lot/plan status', (2) the single-character code pattern consistent with other DCDB status flags (S/U for surveyed indicator), and (3) 100% of 2.8M records in the QLD dataset carry the value 'C', consistent with all records being current cadastral entries. Historical lots are removed from the live dataset rather than flagged."
REF-010,"QLD cadastre address_status field value P","Primary — the address record is the primary (official) address for the lot/plan","Queensland Department of Resources / QLD PLSplus service","Queensland Property Location Service Plus (PLSplus) QG API Specification","PLSplus swagger-v3.yml — ValidateLotPlan operation description: 'Addresses shown are of a type known as Primary. A Primary address may have associated Aliases.'","https://github.com/qld-gov-au/PLSplus-QG-spec","QLD","qld_cadastre_address.address_status",2026-03-20,verified,"address_status='P' = Primary (2,729,876 records). address_status='A' = Alias/Alternative (95,294 records — secondary or informal address names for the same lot/plan). The ArcGIS labeling filter 'address_status = P' confirms only primary addresses are shown in the default map view. Suggested tooltip: 'Address status: Primary — this is the official address for this property.'"
